id,player_id,season_start,season_finish
1601,1601,24087894,44257478
1602,1602,144444291,13079631
1603,1603,39088746,73059598
1604,1604,127648936,58026568
1605,1605,128101270,45352937
1606,1606,8376837,34175700
1607,1607,118740405,73557332
1608,1608,74301744,12949510
1609,1609,128076737,41128012
1610,1610,118303669,12012333
1611,1611,76114199,42434447
1612,1612,124535581,126017122
1613,1613,65665620,111155730
1614,1614,40396834,146705055
1615,1615,145026954,20960597
1616,1616,24668028,138806771
1617,1617,13745853,127496291
1618,1618,29536968,27291608
1619,1619,14030664,140386907
1620,1620,14666694,50070718
1621,1621,149708918,118708271
1622,1622,113335449,65181425
1623,1623,87433286,111187784
1624,1624,57839789,69722855
1625,1625,50417756,120689940
1626,1626,10132799,110451612
1627,1627,133958079,15465635
1628,1628,31312171,9573915
1629,1629,100425358,100598821
1630,1630,130463851,59497503
1631,1631,43257185,143582101
1632,1632,31443532,43356006
1633,1633,33376828,148295627
1634,1634,61680193,110720489
1635,1635,23871911,141968415
1636,1636,82440545,117557953
1637,1637,22963010,119849434
1638,1638,75505773,129680865
1639,1639,127597601,24534670
1640,1640,19287836,99365793
1641,1641,91223540,11004161
1642,1642,49192408,119930029
1643,1643,73125732,122779725
1644,1644,133912634,64226791
1645,1645,33283306,7493074
1646,1646,24850780,89319689
1647,1647,95625639,58539537
1648,1648,126683014,1378654
1649,1649,147554911,29351699
1650,1650,149350660,77034186
1651,1651,73721904,80860965
1652,1652,83069375,70380658
1653,1653,126658378,55799479
1654,1654,112234492,80431869
1655,1655,133184325,97619588
1656,1656,62183899,96909517
1657,1657,27161631,5258583
1658,1658,44917997,39028531
1659,1659,114656050,66121525
1660,1660,139456330,6138387
1661,1661,3774812,134118716
1662,1662,11920954,38217957
1663,1663,139869492,16429716
1664,1664,120769727,36512813
1665,1665,28895772,147959585
1666,1666,103626904,64945268
1667,1667,79249111,10260434
1668,1668,97240257,117728611
1669,1669,140504438,105741428
1670,1670,76753505,79374498
1671,1671,33984221,96592155
1672,1672,60904349,90736118
1673,1673,10184681,71809632
1674,1674,45061869,49959295
1675,1675,75847134,97394151
1676,1676,112382476,105712239
1677,1677,82413283,117657334
1678,1678,34319364,37767778
1679,1679,37873693,56634358
1680,1680,133461106,54963862
1681,1681,68273513,63021023
1682,1682,123294176,44622316
1683,1683,37040566,61777859
1684,1684,120821841,31865322
1685,1685,143209607,68720663
1686,1686,98074696,18023922
1687,1687,19580727,108735637
1688,1688,3524496,5701584
1689,1689,39601125,10664993
1690,1690,91765952,117053667
1691,1691,6674508,13438733
1692,1692,1086751,4569221
1693,1693,90007362,62217174
1694,1694,51919461,43048060
1695,1695,48427440,126243059
1696,1696,118382455,139006682
1697,1697,46500128,99740760
1698,1698,129140027,88907278
1699,1699,37077471,35964285
1700,1700,42317901,145535939
1701,1701,40577270,118420478
1702,1702,61138354,76881153
1703,1703,104629984,6627771
1704,1704,18050322,21011131
1705,1705,43678993,131550162
1706,1706,83699487,64792285
1707,1707,36829278,69280023
1708,1708,51597783,117546712
1709,1709,73578447,68749654
1710,1710,84476243,30576905
1711,1711,137121028,41396700
1712,1712,101558412,115659640
1713,1713,127248220,56298034
1714,1714,141470224,123886709
1715,1715,144860934,115695082
1716,1716,11562954,112335379
1717,1717,21532452,138426138
1718,1718,82687010,137182121
1719,1719,64340721,83226587
1720,1720,68885535,37717469
1721,1721,144557278,5600487
1722,1722,68107675,90028385
1723,1723,116740173,57262151
1724,1724,83524600,120352874
